# Market-cap classification derived from NSE Indices constituent lists (2026-08-28).
# Source (SEBI/AMFI methodology equivalent):
#   Nifty 100          -> LARGE_CAP (top 100 by full market cap)
#   Nifty Midcap 150   -> MID_CAP   (ranks 101-250)
#   Nifty Smallcap 250 -> SMALL_CAP (ranks 251-500)
# Refresh: rerun tools/build-marketcap.py against the latest
# niftyindices.com/IndexConstituent/ind_nifty*list.csv files, then
# POST /admin/reload-classifications (hot-reload, no restart).
SYMBOL,CATEGORY
PIIND,MID_CAP
PINELABS,SMALL_CAP
PIRAMALFIN,SMALL_CAP
PNB,LARGE_CAP
PNBHOUSING,SMALL_CAP
POLICYBZR,MID_CAP
POLYCAB,MID_CAP
POLYMED,SMALL_CAP
POONAWALLA,SMALL_CAP
POWERGRID,LARGE_CAP
POWERINDIA,MID_CAP
PPLPHARMA,SMALL_CAP
PREMIERENE,MID_CAP
PRESTIGE,MID_CAP
PTCIL,SMALL_CAP
PVRINOX,SMALL_CAP
PWL,SMALL_CAP
RADICO,MID_CAP
RAILTEL,SMALL_CAP
RAINBOW,SMALL_CAP
RAMCOCEM,SMALL_CAP
RBLBANK,SMALL_CAP
RECLTD,LARGE_CAP
REDINGTON,SMALL_CAP
RELIANCE,LARGE_CAP
RHIM,SMALL_CAP
RITES,SMALL_CAP
RKFORGE,SMALL_CAP
RPOWER,SMALL_CAP
RRKABEL,SMALL_CAP
RVNL,MID_CAP
SAGILITY,SMALL_CAP
SAIL,MID_CAP
SAILIFE,SMALL_CAP
SAMMAANCAP,SMALL_CAP
SAPPHIRE,SMALL_CAP
SARDAEN,SMALL_CAP
SAREGAMA,SMALL_CAP
SBFC,SMALL_CAP
SBICARD,MID_CAP
SBILIFE,LARGE_CAP
SBIN,LARGE_CAP
SCHAEFFLER,MID_CAP
SCHNEIDER,SMALL_CAP
SCI,SMALL_CAP
SHREECEM,LARGE_CAP
SHRIRAMFIN,LARGE_CAP
SHYAMMETL,SMALL_CAP
SIEMENS,LARGE_CAP
SIGNATURE,SMALL_CAP
SJVN,MID_CAP
SOBHA,SMALL_CAP
SOLARINDS,LARGE_CAP
SONACOMS,SMALL_CAP
SONATSOFTW,SMALL_CAP
SPLPETRO,SMALL_CAP
SRF,MID_CAP
STARHEALTH,SMALL_CAP
SUMICHEM,SMALL_CAP
SUNDARMFIN,MID_CAP
SUNPHARMA,LARGE_CAP
SUNTV,SMALL_CAP
SUPREMEIND,MID_CAP
SUZLON,MID_CAP
SWANCORP,SMALL_CAP
SWIGGY,MID_CAP
SYNGENE,SMALL_CAP
SYRMA,SMALL_CAP
TARIL,SMALL_CAP
TATACAP,LARGE_CAP
TATACHEM,SMALL_CAP
TATACOMM,MID_CAP
TATACONSUM,LARGE_CAP
TATAELXSI,MID_CAP
TATAINVEST,MID_CAP
TATAPOWER,LARGE_CAP
TATASTEEL,LARGE_CAP
TATATECH,SMALL_CAP
TBOTEK,SMALL_CAP
TCS,LARGE_CAP
TECHM,LARGE_CAP
TECHNOE,SMALL_CAP
TEGA,SMALL_CAP
TEJASNET,SMALL_CAP
TENNIND,SMALL_CAP
THELEELA,SMALL_CAP
THERMAX,MID_CAP
TIINDIA,MID_CAP
TIMKEN,SMALL_CAP
TITAGARH,SMALL_CAP
TITAN,LARGE_CAP
TMCV,LARGE_CAP
TMPV,LARGE_CAP
TORNTPHARM,LARGE_CAP
TORNTPOWER,MID_CAP
TRAVELFOOD,SMALL_CAP
TRENT,LARGE_CAP
TRIDENT,SMALL_CAP
TRITURBINE,SMALL_CAP
TTML,SMALL_CAP
TVSMOTOR,LARGE_CAP
UBL,MID_CAP
UCOBANK,SMALL_CAP
ULTRACEMCO,LARGE_CAP
UNIONBANK,LARGE_CAP
UNITDSPR,LARGE_CAP
UNOMINDA,MID_CAP
UPL,MID_CAP
URBANCO,SMALL_CAP
USHAMART,SMALL_CAP
UTIAMC,SMALL_CAP
VBL,LARGE_CAP
VEDL,LARGE_CAP
VIJAYA,SMALL_CAP
VMM,MID_CAP
VOLTAS,MID_CAP
VTL,SMALL_CAP
WAAREEENER,MID_CAP
WELCORP,SMALL_CAP
WELSPUNLIV,SMALL_CAP
WHIRLPOOL,SMALL_CAP
WIPRO,LARGE_CAP
WOCKPHARMA,SMALL_CAP
YESBANK,MID_CAP
ZEEL,SMALL_CAP
ZENSARTECH,SMALL_CAP
ZENTEC,SMALL_CAP
ZFCVINDIA,SMALL_CAP
ZYDUSLIFE,LARGE_CAP
ZYDUSWELL,SMALL_CAP
